1;0;7;AP1;26,
2;0;7;AP1;27,
3;1;0;7;AP1;40,
5;3;1;0;7;AP1;56,
6;8;7;AP1;23,
8;7;AP1;15,
9;14;AP1;17,
10;14;AP1;18,
11;12;13;9;14;AP1;61,
12;13;9;14;AP1;49,
13;9;14;AP1;35,
15;17;AP1;12,
16;15;17;AP1;28,
17;AP1;8,
18;AP1;9,
19;AP1;8,
20;19;AP1;17,
21;20;19;AP1;30,
22;20;19;AP1;34,
23;22;20;19;AP1;50,
25;22;20;19;AP1;50,
26;25;22;20;19;AP1;68,
27;31;28;26;25;22;20;19;AP1;118,
28;26;25;22;20;19;AP1;77,
30;35;36;11;12;13;9;14;AP1;128,
31;28;26;25;22;20;19;AP1;97,
32;33;35;36;11;12;13;9;14;AP1;146,
33;35;36;11;12;13;9;14;AP1;126,
34;37;38;12;13;9;14;AP1;110,
35;36;11;12;13;9;14;AP1;106,
36;11;12;13;9;14;AP1;90,
37;38;12;13;9;14;AP1;96,
38;12;13;9;14;AP1;82,
39;37;38;12;13;9;14;AP1;112,
40;15;17;AP1;30
0;7;14;40;AP2;45,
1;0;7;14;40;AP2;71,
2;0;7;14;40;AP2;71,
3;1;0;7;14;40;AP2;99,
5;3;1;0;7;14;40;AP2;107,
6;8;9;7;14;40;AP2;65,
7;14;40;AP2;25,
8;9;7;14;40;AP2;45,
9;7;14;40;AP2;40,
10;38;40;AP2;38,
11;12;34;37;38;40;AP2;88,
12;34;37;38;40;AP2;76,
13;14;40;AP2;51,
14;40;AP2;26,
15;14;40;AP2;44,
17;38;40;AP2;23,
18;19;17;38;40;AP2;42,
19;17;38;40;AP2;31,
20;40;AP2;17,
21;20;40;AP2;25,
22;40;AP2;14,
23;AP2;11,
25;22;40;AP2;20,
26;25;22;40;AP2;26,
27;33;37;38;40;AP2;77,
28;26;25;22;40;AP2;35,
30;31;28;26;25;22;40;AP2;56,
31;28;26;25;22;40;AP2;46,
32;27;33;37;38;40;AP2;86,
33;37;38;40;AP2;63,
34;37;38;40;AP2;61,
35;32;27;33;37;38;40;AP2;99,
36;11;12;34;37;38;40;AP2;101,
37;38;40;AP2;51,
38;40;AP2;34,
39;37;38;40;AP2;63,
40;AP2;11
0;7;14;13;12;23;22;25;26;28;AP3;84,
1;0;7;14;13;12;23;22;25;26;28;AP3;108,
2;0;7;14;13;12;23;22;25;26;28;AP3;109,
3;1;0;7;14;13;12;23;22;25;26;28;AP3;135,
5;3;1;0;7;14;13;12;23;22;25;26;28;AP3;143,
6;8;9;14;13;12;23;22;25;26;28;AP3;101,
7;14;13;12;23;22;25;26;28;AP3;61,
8;9;14;13;12;23;22;25;26;28;AP3;81,
