150,00; 83,00
300,00; 333,00
450,00; 745,00
600,00; 3575,00
750,00; 7841,00
900,00; 10328,00
1050,00; 25994,00
1200,00; 34905,00
1350,00; 51420,00
1500,00; 50974,00
1650,00; 101535,00
1800,00; 141365,00
1950,00; 209111,00
2100,00; 258761,00
2250,00; 345203,00
2400,00; 433411,00
2550,00; 539831,00
2700,00; 644024,00
2850,00; 823607,00
3000,00; 903576,00
3150,00; 1150829,00
3300,00; 1278828,00
3450,00; 1469860,00
3600,00; 1667245,00
3750,00; 2150287,00
3900,00; 2059540,00
4050,00; 2577667,00
4200,00; 2814551,00
4350,00; 3009618,00
4500,00; 3331327,00
